"店铺","账号","视频标题","视频链接","发布时间","时长秒","播放量","点赞数","评论数","分享数","收藏数","互动率"
"ETCYY-US","etcyy.style","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAQ3FFLKyG0bIqEGSl9sECwwUSBa9ardtZjxuurrr8cU1J7aq2bG_vJhHFQ5YOavmm/video/7681204641832504589","2026-09-04T00:47:00+08:00","15","33","0","0","0","0","0"
"ETCYY-US","etcyy.wear","#WorkFromHomeBlouse #CozyWorkWear #WomensLongSleeveTop #BusinessCasua...","https://www.tiktok.com/@MS4wLjABAAAASYmu1XGMcfs93-fOI77Urb73o1YDOmpOcA7fNZSv0jajFPiuSKiyyFHWc3bWvP-g/video/7680120241459940622","2026-08-31T19:38:00+08:00","15","33","0","0","0","0","0"
"ETCYY-US","etcyywears","#StripedLayeredBlouse #WomensKnitShirt #SmartCasualOutfit #NavyWorkT","https://www.tiktok.com/@MS4wLjABAAAAZ79LMZFS-icRZjdE7C2BragqlZXfRKdeJ1H08NhO17EzAka-g_0oBEmtg9Z4nERS/video/7679393153664699678","2026-08-29T19:38:00+08:00","15","33","0","0","0","0","0"
"ETCYY-US","etcyylooks","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAADN4bHzuz0PCRGRcv7_0WFFbcB8MFIjAUxm-kcIWbHF-MM0aJ3NDRBv8YjN8WLJ5D/video/7680858585982684429","2026-09-02T19:24:00+08:00","15","33","0","0","0","0","0"
"ETCYY-US","etcyy.daily","#LayeredLookShirt #WomensFashionTop #StripedPatchworkBlouse #OutfitIn...","https://www.tiktok.com/@MS4wLjABAAAAIn9Zn1XR3yoPHf7kI7b0dNMyczGiKiCXWt5uQC6k58sBwWdTeJeAX0uzcfrXFpcE/video/7679399458068499743","2026-08-29T18:33:11+08:00","15","32","0","0","0","0","0"
"ETCYY-US","etcyy.wear","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAASYmu1XGMcfs93-fOI77Urb73o1YDOmpOcA7fNZSv0jajFPiuSKiyyFHWc3bWvP-g/video/7681204061483388173","2026-09-04T00:45:00+08:00","15","32","0","0","0","0","0"
"ETCYY-US","etcyy.daily","#LayeredLookShirt #WomensFashionTop #StripedPatchworkBlouse #OutfitIn...","https://www.tiktok.com/@MS4wLjABAAAAIn9Zn1XR3yoPHf7kI7b0dNMyczGiKiCXWt5uQC6k58sBwWdTeJeAX0uzcfrXFpcE/video/7680125484218191135","2026-08-31T18:59:00+08:00","15","31","0","0","0","0","0"
"ETCYY-US","etcyy.lookbook","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAB7ADPXI4N-HH1kKQPqRQpjW4QtjQqIyrM58InkyoFYDSQvaMkewMEw7yVlkLy41g/video/7680865458500799775","2026-09-02T18:50:00+08:00","15","31","0","0","0","0","0"
"ETCYY-US","etcyy.glam","#sohochic#tiktok#tiktokshop#ootd","https://www.tiktok.com/@MS4wLjABAAAAI95MRpE0J2k31jCljJSn-F0-knBxN1H-2B629ifUTuROBthPTMhoEBgJdtPsHfIL/video/7682707663079099678","2026-09-07T18:12:00+08:00","15","30","0","0","0","0","0"
"ETCYY-US","etcyy.outfits","#ootd #tiktokshop #boutiquefashion #chicstyle","https://www.tiktok.com/@MS4wLjABAAAAoQFJPQPYC22qIvVGvvvRC0g_My8pz54doaZlHyyB-tRzCgol_WB2xUmnrUdaPRmI/video/7682708291205614879","2026-09-07T18:02:00+08:00","15","30","0","0","0","1","0"
